file_name,first_unix_time,last_unix_time,first_date,last_date,number_rows
XRPUSD_60.csv,1495119600,1743462000,2017-05-18 15:00:00,2025-03-31 23:00:00,68846
LUNAUSD_60.csv,1639666800,1743462000,2021-12-16 15:00:00,2025-03-31 23:00:00,28801
ALGOUSD_60.csv,1579705200,1743462000,2020-01-22 15:00:00,2025-03-31 23:00:00,44865
AVAXUSD_60.csv,1640098800,1743462000,2021-12-21 15:00:00,2025-03-31 23:00:00,28692
XLMUSD_60.csv,1484683200,1743462000,2017-01-17 20:00:00,2025-03-31 23:00:00,65608
SHIBUSD_60.csv,1638284400,1743462000,2021-11-30 15:00:00,2025-03-31 23:00:00,29198
TRXUSD_60.csv,1583416800,1743462000,2020-03-05 14:00:00,2025-03-31 23:00:00,43738
ADAUSD_60.csv,1538139600,1743462000,2018-09-28 13:00:00,2025-03-31 23:00:00,56697
LINKUSD_60.csv,1569420000,1743462000,2019-09-25 14:00:00,2025-03-31 23:00:00,47838
ATOMUSD_60.csv,1555956000,1743462000,2019-04-22 18:00:00,2025-03-31 23:00:00,50967
USDCUSD_60.csv,1578495600,1743462000,2020-01-08 15:00:00,2025-03-31 23:00:00,45609
LTCUSD_60.csv,1382619600,1743462000,2013-10-24 13:00:00,2025-03-31 23:00:00,77970
XMRUSD_60.csv,1483383600,1743462000,2017-01-02 19:00:00,2025-03-31 23:00:00,70724
USDTUSD_60.csv,1490806800,1743462000,2017-03-29 17:00:00,2025-03-31 23:00:00,69523
MATICUSD_60.csv,1621263600,1743462000,2021-05-17 15:00:00,2025-03-31 23:00:00,33913
EURUSD_60.csv,1584021600,1743462000,2020-03-12 14:00:00,2025-03-31 23:00:00,44235
GBPUSD_60.csv,1584025200,1743462000,2020-03-12 15:00:00,2025-03-31 23:00:00,43170
DOTUSD_60.csv,1597770000,1743462000,2020-08-18 17:00:00,2025-03-31 23:00:00,40445
SOLUSD_60.csv,1623942000,1743462000,2021-06-17 15:00:00,2025-03-31 23:00:00,33149
ETHUSD_60.csv,1438956000,1743462000,2015-08-07 14:00:00,2025-03-31 23:00:00,81096
XDGUSD_60.csv,1576778400,1743462000,2019-12-19 18:00:00,2025-03-31 23:00:00,43638
XBTUSD_60.csv,1381093200,1743462000,2013-10-06 21:00:00,2025-03-31 23:00:00,89787
