coin,r2_lasso,r2_ridge,mse_lasso,mse_ridge,mean_actual_return,std_actual_return,realized_sharpe
1INCHUSD_720.parquet,-0.03789502464046457,-1.0328995064363728,0.0006120689266504131,0.0011988443815150692,0.00908041800870391,0.02520088500472366,0.36032139375271444
AAVEUSD_720.parquet,-0.006359999136126504,-1.0336166872967798,0.0008163088071218606,0.001649567961341232,0.0062937978982874464,0.02955581229172851,0.21294619941976112
ACHUSD_720.parquet,-0.05236189723113682,-0.06406212912473741,0.0028138154978274883,0.0028450996919027493,0.020535558968601885,0.05366085556042879,0.3826916055312666
ADAUSD_720.parquet,-0.04691521728652859,0.1403610142565347,0.0003292908841343798,0.0002703860608555601,0.0029767927796984154,0.018404602393066436,0.16174175981220124
AKTUSD_720.parquet,-0.01050565025887562,-0.04472928727897951,0.01043881817701751,0.010792358332005845,0.0276923811901107,0.10547478168454517,0.26254978439238014
ALGOUSD_720.parquet,-0.21600880039582515,-0.5668033228468696,0.001154963943826019,0.0014881482308071168,0.016059972632120806,0.03198218977208899,0.5021536282089233
ANKRUSD_720.parquet,-0.011286353865529675,-0.4470049827622451,0.0008275165442503757,0.0011840568779272857,0.01186918105563103,0.029685448226591665,0.39983162676313716
APEUSD_720.parquet,-0.10693967794065884,-0.004944448796092127,0.0006204976996803844,0.0005633240285908113,0.0011551716265313836,0.024569733856156684,0.04701604149618905
APTUSD_720.parquet,-0.44569896395260633,-4.936339123459042,0.002540105650693874,0.010430199459164693,-0.003320215737473007,0.04349900240814781,-0.07632854901635852
ASTRUSD_720.parquet,-0.009832612755008352,-0.12823422289744313,0.002039912242125383,0.002279089399771317,0.0024693817189349126,0.04664159437468451,0.05294376729701183
ATLASUSD_720.parquet,-0.01363417064559358,-0.3108404059555363,0.001220762880544897,0.0015787010306585493,0.008668632643161958,0.0360136697759244,0.24070395205758927
ATOMUSD_720.parquet,-0.008604083754386371,-0.06461439815971404,0.001051200092923458,0.001109575870551075,0.00805322027545618,0.03350230405904465,0.2403781023914994
AVAXUSD_720.parquet,-0.01484804660311112,-0.22572853310543195,0.0010392889699118988,0.0012552481613643596,0.005170957795251555,0.033209320586988264,0.15570802726020197
AXSUSD_720.parquet,0.001303685237418195,-0.23107297589915632,0.0009572414528443779,0.0011799723966011701,0.008800968191811186,0.032128197929048745,0.27393283032079996
BATUSD_720.parquet,-0.02893709204504802,-0.4702740563479497,0.0008321528869351721,0.0011890841627101789,0.011650497787427713,0.029512057753505388,0.3947707708061763
BCHUSD_720.parquet,-0.04406790412817818,-0.045925174982383465,0.00025709380295266515,0.00025755114181456564,0.0015102419801028611,0.016284475431299787,0.09274121149767471
BLZUSD_720.parquet,-0.02682085469687956,-0.5430778754132346,0.009652819409678454,0.01450598904210153,0.03198170539641161,0.1006171686084693,0.3178553505203644
BSXUSD_720.parquet,-0.0034748726154107956,-0.2957844681457362,0.003591754238443471,0.004638022817094893,0.003976096318363182,0.06208581652123393,0.06404194292916032
BTTUSD_720.parquet,-0.0050336251166198664,-0.24994305487751522,0.0003746119161426166,0.00046589840494390297,0.0038619443764482883,0.020035161132276158,0.19275833875010817
CFGUSD_720.parquet,0.0017410956590973026,-0.11291272358509774,0.0011758379955620958,0.0013108874465786575,0.008260871549598115,0.03561594649035529,0.23194305819824665
CHZUSD_720.parquet,-0.11611505860450988,-0.4209846003815798,0.0016871099271449548,0.0021479481054769655,0.01762107817774418,0.040346842064476446,0.4367399597119581
COMPUSD_720.parquet,-2.7891419893677494e-06,-0.6439982799075543,0.0011483532150194985,0.0018878854446378007,0.007981900294596571,0.035166527102122,0.22697436887690087
COTIUSD_720.parquet,-0.0413578841454989,-0.11962707883359669,0.001320517456625331,0.0014197684821135087,0.002860385049443887,0.036954251515152775,0.07740340913875662
CQTUSD_720.parquet,-0.16813846249791298,-1.1364705408949405,0.009191876865710134,0.016811512307479137,0.025419478400435284,0.0920549780322123,0.2761336642928792
CRVUSD_720.parquet,-0.0033347303579409626,-0.3296386581066737,0.0013182676315047358,0.0017469938511488578,0.008174102285747224,0.03761587886420291,0.21730456744760773
DASHUSD_720.parquet,-0.06884355497142702,-0.47044920952248437,0.0005627604652123774,0.0007742112279885223,0.005936301973767393,0.023812065048390674,0.24929807480803076
DENTUSD_720.parquet,0.03424105989730031,0.16811743970530435,0.0007761928524869014,0.0006685946881740304,0.00916051959230071,0.02942000842409788,0.31137039324561666
DOTUSD_720.parquet,-0.011778952631749995,-0.6848211405099394,0.0006230710229267135,0.0010375420725401813,0.007973793690710227,0.02575243491869907,0.30963261205721504
DYDXUSD_720.parquet,-0.11760449570179565,-13.377618629043207,0.002570013290338455,0.03306238575647082,-0.0004656377078440774,0.04976407732513291,-0.009356904274580233
EGLDUSD_720.parquet,0.07307116928628843,-0.47087432622330305,0.0003729202635157397,0.000591759392046728,0.008096109111006862,0.020815034626315336,0.38895487114738614
ENJUSD_720.parquet,-0.004149688311611888,-0.1828010176067867,0.0011556090399888774,0.0013612069638269685,0.00802744639550957,0.03520453222440053,0.2280230949907548
EOSUSD_720.parquet,-0.017019518051333504,-0.6244506624873272,0.00034066537744046113,0.0005441332130281891,0.004893457058996904,0.018992918146874316,0.2576464038414353
ETCUSD_720.parquet,-0.05850567363899861,-0.7222460211765551,0.0006510725915975868,0.001059330344939154,0.0055744589556062955,0.025737149967429443,0.21659192889114823
ETHUSD_720.parquet,0.007727068929224368,-0.05043072726085951,0.00022338393402956377,0.00023647661941947074,0.004117967121442332,0.015570506392968938,0.26447226683018177
