,0
mom_2_1,0.14357462345060287
price_ema_diff_14,0.1348373437152377
ltrev_28,0.11240779575805314
close_to_high,0.06402325249644056
strev_6,0.046762286546226245
mom_14_2,0.042143303429879105
log_price_range,0.04211936655219456
ma_zscore_14,0.03821216342465903
log_return,0.029355839838571474
sto_osc_14,0.02822357852440888
return,0.027535901787790324
ema_diff_norm_10_21,0.027515095885307813
rsi,0.027073093182364328
close_to_low,0.026779420722332147
realized_vol_14,0.026222184441708197
weighted_vol_14,0.023618993426597994
mom_12_7,0.022424590845279552
beta_market,0.018335947052572892
mom_36_13,0.01782676508485988
ema_diff_norm_20_50,0.017391716588994993
volume,0.013445511225419855
volume_change,0.010092639870260059
macd_hist,0.0089205838646978
volume_zscore_14,0.007871810463333436
vwap_14,0.00673562879624522
close,0.006734417469740263
high,0.00638315550550492
open,0.006343521669923624
low,0.006032145855831374
trades,0.005953170194375596
amihud_14,0.005104152330586219
